Sl. NO,Name of the Society,Milk_Production,Date
20,Basavanagara,20012,01-01-2021
20,Basavanagara,20175,01-02-2021
20,Basavanagara,20012,01-03-2021
20,Basavanagara,20175,01-04-2021
20,Basavanagara,22249,01-05-2021
20,Basavanagara,22124,01-06-2021
20,Basavanagara,20977,01-07-2021
20,Basavanagara,19415,01-08-2021
20,Basavanagara,18803,01-09-2021
20,Basavanagara,20392,01-10-2021
20,Basavanagara,20044,01-11-2021
20,Basavanagara,20720,01-12-2021
20,Basavanagara,22114,01-01-2022
20,Basavanagara,19856,01-02-2022
20,Basavanagara,21411,01-03-2022
20,Basavanagara,22537,01-04-2022
20,Basavanagara,25981,01-05-2022
20,Basavanagara,26128,01-06-2022
20,Basavanagara,27669,01-07-2022
20,Basavanagara,20968,01-09-2022
20,Basavanagara,24449,01-08-2022
20,Basavanagara,22317,01-10-2022
20,Basavanagara,22018,01-11-2022
20,Basavanagara,24282,01-12-2022
18,Bhavikere,15449,01-01-2021
18,Bhavikere,15449,01-02-2021
18,Bhavikere,18028,01-03-2021
18,Bhavikere,17436,01-04-2021
18,Bhavikere,21910,01-05-2021
18,Bhavikere,23355,01-06-2021
18,Bhavikere,20148,01-07-2021
18,Bhavikere,18495,01-08-2021
18,Bhavikere,17994,01-09-2021
18,Bhavikere,18495,01-10-2021
18,Bhavikere,17994,01-11-2021
18,Bhavikere,22561,01-12-2021
18,Bhavikere,17175,01-01-2022
18,Bhavikere,17175,01-02-2022
18,Bhavikere,18390,01-03-2022
18,Bhavikere,17298,01-04-2022
18,Bhavikere,20636,01-05-2022
18,Bhavikere,22615,01-06-2022
18,Bhavikere,22615,01-07-2022
18,Bhavikere,20554,01-08-2022
18,Bhavikere,18729,01-09-2022
18,Bhavikere,18379,01-10-2022
18,Bhavikere,16118,01-11-2022
18,Bhavikere,16354,01-12-2022
16,Biarapura,11200,01-01-2021
16,Biarapura,9852,01-02-2021
16,Biarapura,10089,01-03-2021
16,Biarapura,8923,01-04-2021
16,Biarapura,10908,01-05-2021
16,Biarapura,12801,01-06-2021
16,Biarapura,12267,01-07-2021
16,Biarapura,11774,01-08-2021
16,Biarapura,10940,01-09-2021
16,Biarapura,11942,01-10-2021
16,Biarapura,9808,01-11-2021
16,Biarapura,9466,01-12-2021
16,Biarapura,10562,01-01-2022
16,Biarapura,8478,01-02-2022
16,Biarapura,8529,01-03-2022
16,Biarapura,10434,01-04-2022
16,Biarapura,12919,01-05-2022
16,Biarapura,12886,01-06-2022
16,Biarapura,13044,01-07-2022
16,Biarapura,11797,01-08-2022
16,Biarapura,10194,01-09-2022
16,Biarapura,9703,01-10-2022
16,Biarapura,8777,01-11-2022
16,Biarapura,8102,01-12-2022
12,Bodaduhosalli,17559,01-01-2021
12,Bodaduhosalli,15875,01-02-2021
12,Bodaduhosalli,16831,01-03-2021
12,Bodaduhosalli,16762,01-04-2021
12,Bodaduhosalli,15735,01-05-2021
12,Bodaduhosalli,18090,01-06-2021
12,Bodaduhosalli,20672,01-07-2021
12,Bodaduhosalli,21532,01-08-2021
12,Bodaduhosalli,21278,01-09-2021
12,Bodaduhosalli,19951,01-10-2021
12,Bodaduhosalli,17561,01-11-2021
12,Bodaduhosalli,18834,01-12-2021
12,Bodaduhosalli,19724,01-01-2022
12,Bodaduhosalli,16559,01-02-2022
12,Bodaduhosalli,16966,01-03-2022
12,Bodaduhosalli,20741,01-04-2022
12,Bodaduhosalli,23510,01-05-2022
12,Bodaduhosalli,23372,01-06-2022
12,Bodaduhosalli,20395,01-07-2022
12,Bodaduhosalli,17752,01-08-2022
12,Bodaduhosalli,16662,01-09-2022
12,Bodaduhosalli,18124,01-10-2022
12,Bodaduhosalli,17662,01-11-2022
12,Bodaduhosalli,17762,01-12-2022
7,Doddakerenahalli,14960,01-01-2021
7,Doddakerenahalli,12548,01-02-2021
7,Doddakerenahalli,12556,01-03-2021
7,Doddakerenahalli,13223,01-04-2021
7,Doddakerenahalli,15168,01-05-2021
7,Doddakerenahalli,15963,01-06-2021
7,Doddakerenahalli,15996,01-07-2021
7,Doddakerenahalli,14453,01-08-2021
7,Doddakerenahalli,12706,01-09-2021
7,Doddakerenahalli,13854,01-10-2021
7,Doddakerenahalli,14269,01-11-2021
7,Doddakerenahalli,14251,01-12-2021
7,Doddakerenahalli,11116,01-01-2022
7,Doddakerenahalli,8665,01-02-2022
7,Doddakerenahalli,9467,01-03-2022
7,Doddakerenahalli,11595,01-04-2022
7,Doddakerenahalli,16992,01-05-2022
7,Doddakerenahalli,18075,01-06-2022
7,Doddakerenahalli,18639,01-07-2022
7,Doddakerenahalli,17597,01-08-2022
7,Doddakerenahalli,15358,01-09-2022
7,Doddakerenahalli,14771,01-10-2022
7,Doddakerenahalli,11332,01-11-2022
7,Doddakerenahalli,10157,01-12-2022
15,Hanumanthagowdanpalya,1372,01-01-2021
15,Hanumanthagowdanpalya,4255,01-02-2021
15,Hanumanthagowdanpalya,4317,01-03-2021
15,Hanumanthagowdanpalya,4978,01-04-2021
15,Hanumanthagowdanpalya,5808,01-05-2021
15,Hanumanthagowdanpalya,6160,01-06-2021
15,Hanumanthagowdanpalya,5216,01-07-2021
15,Hanumanthagowdanpalya,5525,01-08-2021
15,Hanumanthagowdanpalya,4859,01-09-2021
15,Hanumanthagowdanpalya,5062,01-10-2021
15,Hanumanthagowdanpalya,5307,01-11-2021
15,Hanumanthagowdanpalya,5192,01-12-2021
15,Hanumanthagowdanpalya,5806,01-01-2022
15,Hanumanthagowdanpalya,5017,01-02-2022
15,Hanumanthagowdanpalya,1499,01-03-2022
15,Hanumanthagowdanpalya,1180,01-04-2022
15,Hanumanthagowdanpalya,6926,01-05-2022
15,Hanumanthagowdanpalya,7245,01-06-2022
15,Hanumanthagowdanpalya,6500,01-07-2022
15,Hanumanthagowdanpalya,6059,01-08-2022
15,Hanumanthagowdanpalya,4951,01-09-2022
15,Hanumanthagowdanpalya,4311,01-10-2022
15,Hanumanthagowdanpalya,4334,01-11-2022
15,Hanumanthagowdanpalya,3885,01-12-2022
4,Huchavanahalli,19368,01-01-2021
4,Huchavanahalli,19394,01-02-2021
4,Huchavanahalli,26924,01-03-2021
4,Huchavanahalli,28677,01-04-2021
4,Huchavanahalli,30788,01-05-2021
4,Huchavanahalli,29096,01-06-2021
4,Huchavanahalli,29232,01-07-2021
4,Huchavanahalli,30461,01-08-2021
4,Huchavanahalli,34556,01-09-2021
4,Huchavanahalli,36566,01-10-2021
4,Huchavanahalli,35354,01-11-2021
4,Huchavanahalli,34674,01-12-2021
4,Huchavanahalli,34676,01-01-2022
4,Huchavanahalli,24749,01-02-2022
4,Huchavanahalli,27370,01-03-2022
4,Huchavanahalli,29787,01-04-2022
4,Huchavanahalli,33738,01-05-2022
4,Huchavanahalli,31605,01-06-2022
4,Huchavanahalli,29946,01-07-2022
4,Huchavanahalli,32024,01-08-2022
4,Huchavanahalli,31668,01-09-2022
4,Huchavanahalli,31852,01-10-2022
4,Huchavanahalli,31122,01-11-2022
4,Huchavanahalli,31026,01-12-2022
2,Kothanuru,51880,01-01-2021
2,Kothanuru,49155,01-02-2021
2,Kothanuru,50120,01-03-2021
2,Kothanuru,48570,01-04-2021
2,Kothanuru,55180,01-05-2021
2,Kothanuru,56900,01-06-2021
2,Kothanuru,51190,01-07-2021
2,Kothanuru,63520,01-08-2021
2,Kothanuru,66150,01-09-2021
2,Kothanuru,61190,01-10-2021
2,Kothanuru,58170,01-11-2021
2,Kothanuru,53170,01-12-2021
2,Kothanuru,50900,01-01-2022
2,Kothanuru,50188,01-02-2022
2,Kothanuru,58779,01-03-2022
2,Kothanuru,61364,01-04-2022
2,Kothanuru,72406,01-05-2022
2,Kothanuru,65573,01-06-2022
2,Kothanuru,68466,01-07-2022
2,Kothanuru,63924,01-08-2022
2,Kothanuru,66457,01-09-2022
2,Kothanuru,73622,01-10-2022
2,Kothanuru,66621,01-11-2022
2,Kothanuru,64866,01-12-2022
13,Koturu,4296,01-01-2021
13,Koturu,7264,01-02-2021
13,Koturu,4035,01-03-2021
13,Koturu,6749,01-04-2021
13,Koturu,7463,01-05-2021
13,Koturu,7463,01-06-2021
13,Koturu,8910,01-07-2021
13,Koturu,7863,01-08-2021
13,Koturu,7700,01-09-2021
13,Koturu,7851,01-10-2021
13,Koturu,7661,01-11-2021
13,Koturu,8085,01-12-2021
